question_id,question,opa,opb,opc,opd,ans
7079,Which of the following renal tumours is associated with tuberous sclerosis?,Angiomyolipoma,Renal papillary adenoma,Nephroblastoma,Oncocytoma,0
8654,Glycoprotein IIb-IIIa complex is deficient in -,Bernard-Soulier syndrome,Glanzmann's disease,Gray platelet syndrome,Von-Willebrand disease,1
2209,Maurer's dots are seen in infection with,Pl. malariae,Pl. vivax,Pl. ovale,Pl. falciparum,3
4696,Tau protein seen in -,Alzhiemer's disease,Lewy body dementia,Picks disease,Amylodosis,0
5054,Person having heterozygous sickle cell trait is protected from infection of:,P. falciparum,P. vivax,Pneumococcus,Salmonella,0
192,The cells seen after 72 hours in the infarcted area in MI are,Neutrophils,Lymphocytes,Macrophages,Monocytes,2
8012,Which of the following represents a soluble polysaccharide found in dental plaque and is formed from the fructose moiety of sucrose ?,Levan,Dextran,Amlyopectin,Hyaluronic acid,0
939,Shock lung is seen in?,Bronchiectasis,Lung carcinoma,ARDS,COPD,2
8823,Which of the following is not a pyrogenic cytokine?,IL - 1,TNF,IFN - a,IL - 18,3
801,Causes of restrictive cardiomyopathy are-a) amyloidb) sarcoidosisc) Viral myopathyd) Alcohole) Storage disease,abe,bcd,cde,acd,0
2807,Leisegang rings are found in:,Calcifying epithelial odontogenic cyst,Primordial cyst,Calcifying epithelial odontogenic tumor,Odontoma,2
8691,Condition not associated with bronchiectasis is?,Pericarditis,Lung cancer,Amyloidosis,Hemoptysis,1
7662,"In comparison to hyperplasia, hyperophy is",Increase in cell size and number,Increase in cell size without increase in number,Increase in cell number without increase in size,Increase in cell size and decrease in number,1
1748,"In atherosclerosis, increased LDL in monocyte macrophage due to -",LDL receptors on macrophage,LDL receptors on macrophage,Lipids in LDL'get oxidized,Lipids in LDL'get oxidized,2
8996,Factor IX deficiency results in increased,PT,PTT,BT,TT,1
229,"The level of drug metabolizing enzymes in the liver determines how fast a drug is removed from the circulation. Therefore, it would be expected to find drug metabolizing enzymes",Higher in smokers than in nonsmokers,Similar in smokers and nonsmokers,Lower in smokers than in nonsmokers,Simulated by malnutri on,0
7336,a malignant epithelial cell neoplasm derived from any of the three(e) germ layers is referred to as:,sarcoma,carcinoma,teratoma,mixed cell tumor,2
1228,Atheromatous plaque does not contain,Cholestrol crystals,Neutrophils,Smooth muscle fibres,Monocytes,1
418,Most common site for diveiculosis is?,Sigmoid colon,Ascending colon,Transverse colon,Spleenic flexure,0
2794,Percentage of CML in which Philadelphia chromosome is positive:,30-40%,50-60%,70-80%,90-95%,3
2778,Best results are obtained in oral submucous fibrosis is by:,"Intralesional cortisone therapy, with hyaluronic acid",Oral cortisone with intralesional therapy (cortisone),Vitamin E and oral cortisone,Intralesional placental extract,0
824,A chromosomal aberration that results in a disturbance in the normal gene balance is termed,Non-disjunction,Euploidy,Aneuploidy,Breakage,0
7181,Vitamin deficiency associated with increase xanthurenic acid excretion in urine,Thiamine,Pyridoxine,Ascorbic acid,Niacin,1
1801,What is hyperplasia,Decrease in cell size,Increase in cell size,Increase in cell number,Decrease in cell number,2
6284,Which of the following is the most dreaded complication of Kawasaki's disease?,Desquamative rash,Lymphadenopathy,Coronary aneurysms,Thrombocytosis,2
1875,Test for β- thalassemia trait -,"HbA
2",HbF,Fragility test,Coomb's test,0
2002,"In shock, characteristic feature is -",Cardiac failure,Poor perfusion of tissues,Cyanosis,Oedema,1
8493,Neuroendocrme lesions of lung are-,Carcinoid,Benign tumourlets,Bronchoalveolar carcinoma,hemaoma,0
1511,Anaphylactic shock is caused by w hich type of hypersensitivity reaction?,I,II,III,IV,0
7854,"A 1-year-old boy presents with a delay in motor development. Progressive muscle weakness and blindness ensue, and the patient dies within a year. The brain at autopsy shows swollen neurons that contain numerous lysosomes filled with lipid. Which of the following is the most likely diagnosis?",AL amyloidosis,Hurler syndrome,Phenylketonuria,Tay-Sachs disease,3
4807,Gene of wilsons disease is,ATP 7A,ATP 7B,ADP 7A,ADP 7B,1
8287,Lactobacilli are numerous in carious lesions because they,Are the main causative agent,Can produce insoluble extracellular polysaccharides,Can attach to smooth enamel surfaces,Are secondary invaders,3
7682,Which of the following is the commonest site of intestinal tuberculosis?,Stomach,Jejunum,Ileum,Colon,2
3761,A 40-year-old woman with leukemia is treated with chemotherapy. During treatment she develops increasing cough and shoness of breath. A chest X-ray shows diffuse lung infiltrates. Sputum cultures are negative and the patient does not respond to routine antibiotic therapy. An open lung biopsy is diagnosed by the pathologist as viral pneumonia. Which of the following histopathologic findings would be expected in the lungs of this patient?,Clusters of epithelioid macrophages,Confluent areas of caseous necrosis,Fibrous scarring of lung parenchyma,Hyaline membranes and interstitial inflammation,3
5071,Duchenne muscular dystrophy is inherited as,X linked,Autosomal dominant,Autosomal recessive,Codominant,0
4709,Mycosis fungoides mainly affects,B-cells,Plasma cells,T cells,Macrophages,2
6205,"Dentinogenesis imperfecta differs from amelogenesis
imperfecta in that, the former is",A hereditary disturbance,The result of excessive fluoride ingestion,The result of faulty enamel matrix formation,Characterized by calcification of pulp chambers and the root canals of the teeth,3
1016,Triple helix is found in,Cystine,Collagen,Pectin,DNA,1
4374,Kaposis sarcoma is seen with ?,HCV,HPV,HSV,HHV,3
920,Which is not an inflammatory stage in pneumonia -,Organisation,Congestion,Resolution,Hepatisation,0
720,Which among the following is a vasoconstrictor?,Histamine,PGI2,Bradykinin,TXA2,3
4522,Which of the following is X-linked dominant trait?,Haemophilia A,Colour blindness,Vitamin D dependent rickets,Duchenne muscular dystrophy -,2
5780,Colonic polyp that has maximum chance - of malignant change,Hyperplastic polyp,Adenomatous polyp,Juvenile polyp,polyp of peutz- Jegher syndrome,1
1721,"A 30-year-old woman presents with a hea murmur. There is a history of recurrent episodes of ahritis, skin rash and glomerulonephritis. Blood cultures are negative. Laboratory tests for antinuclear antibodies (ANA) and anti-double-stranded DNA are positive. Which of the following is the most likely cause of hea murmur in this patient?",Libman-Sacks endocarditis,Mitral valve prolapse,Myocardial infarct,Rheumatic fever,0
8097,Most impoant adhesion molecule for diapedesis,PECAM,Selectin,Integrin,Mucin like glycoprotien,0
1469,Type IV Hypersensitivity -,Farmer's lung,Contact hypersensitivity,Immediate hypersensitivity,Myasthenia gravis,1
7846,Michalis Gutmann bodies are seen in,Xanthogranulomatous pyelonephritis,Malakoplakia,Nail patella syndrome,Chronic pyelonephritis,1
5897,The given pattern of electrophoresis is obtained in which of the following?,Necrosis,Apoptosis,Necroptosis,Free radical injury,1
7365,Which finding on electron microscopy indicates irreversible cell injury:,Dilatation of endoplasmic reticulum.,Dissociation of ribosomes from rough endoplasmic reticulum,Flocculent amorphous densities in the mitochondria,Myelin figures,2
7427,Drug induced lupus antibodies are found in ?,Anti-Rho,Ds-DNA,Anti-Sm,Anti-histone antibody,3
7605,Replacement of columnar epithelium of respiratory tract to squamous epithelium is,Hyperplasia,Metaplasia,Hypoplasia,Atrophy,1
4016,Metastatic calcification is not seen in ?,Kidney tubules,Fundal glands of stomach,Alveoli of lungs,Media of Monkeberg degeneration,3
4081,The organ most vulnerable to ischaemia due to shock-,Lungs,Adrenals,Kidney,Heart,3
7867,"Approximate time, at the end of which the quantity of ATP within ischemic cardiac myocytes is reduced to 10% of the original is",<2 minutes,10 minutes,20 minutes,40 minutes,3
3294,BRCA 1 & 2 genes are located on chromosomes,13 & 17,17 & 22,17 & 13,13 & 22,2
1855,Prevalence of Burkitt's lymphoma is highest in?,Australia,Africa,Asia,America,1
2973,Which is risk factor for cholangiocarcinoma,Obesity,Primary sclerosing cholangitis,Salmonella carrier state,HBV infection,1
5928,The type of necrosis seen in Tuberculosis:,Gummatous,Coagulative,Caseation,Liquefactive,2
8844,"A 32-year-old woman with systemic lupus erythematosus (SLE) and chronic renal failure manifests rapidly progressive weakness. On physical examination, she appears pale and has slightly yellow sclerae and an enlarged spleen. Blood tests reveal severe anemia and mild, mostly unconjugated, hyperbilirubinemia. Coombs test is positive at 37 C but negative at 0-4 C. This patient developed anemia because of?",Bone marrow aplasia,IgG directed against red blood cells,IgM directed against red blood cells,Renal failure,1
